url;title
https://mangalivre.net/tondemo-skill-de-isekai-hourou-meshi/online/496676/capitulo/53-2#/!page0;Tondemo Skill de Isekai Hourou Meshi - Capítulo 53.2 por Kakusei Project
https://mangalivre.net/clever-cleaning-life-of-the-returned-genius-hunter/online/495951/capitulo/45#/!page0;Clever Cleaning Life Of The Returned Genius Hunter - Capítulo 45 por Prisma Comics
https://mangalivre.net/oshi-no-ko/online/495612/capitulo/128#/!page0;Oshi no Ko - Capítulo 128 por Subferia Scanlator
https://mangalivre.net/kaiju-no-8/online/496819/capitulo/94#/!page0;Kaiju No.8 - Capítulo 94 por Gravity Scans
https://mangalivre.net/kanteishi-wa-douga-haishin-de-level-up-through/online/495275/capitulo/34#/!page0;Kanteishi wa Douga Haishin de Level Up Through - Capítulo 34 por Diskus Scan
https://mangalivre.net/kamonohashi-ron-no-kindan-suiri/online/497021/capitulo/110#/!page0;Kamonohashi Ron no Kindan Suiri - Capítulo 110 por Contos do Vieira
https://mangalivre.net/taming-master/online/497380/capitulo/124#/!page0;Taming Master - Capítulo 124 por Neox Scanlator
https://mangaschan.net/19173620/warrior-high-school-dungeon-raid-department-capitulo-45/;Warrior High School - Dungeon Raid Department Capítulo 45 - Mangás Chan
https://neoxscan.net/manga/m-3_513_13-eescolhe/cap-64/;Me Escolhe! - Cap. 64 - Leia comics em português!
https://mangalivre.net/tensei-shitara-slime-datta-ken/online/494947/capitulo/111#/!page0;mangalivre.net
https://neoxscan.net/manga/jo-065_32_1-gadorcirurgiao/cap-57/;Jogador Cirurgião - Cap. 57 - Leia comics em português!
https://neoxscan.net/manga/me-065_32_1-escolhe/cap-68/;Me Escolhe! - Cap. 68 - Leia comics em português!
https://neoxscan.net/manga/he-065_32_1-a1_-y-inquisition-sword_1/cap-74/;Espada da Inquisição Celestial - Cap. 74 - Leia comics em português!
